"Kód obce";PSČ;"Doručovacia pošta";"platné od";"platné do"
517518;01304;"Dolná Tižina";2010-01-01;
517976;01304;"Dolná Tižina";2010-01-01;
506931;91952;"Dolné Dubové";2010-01-01;
506940;91902;"Dolné Orešany";2010-01-01;
515973;99124;"Dolné Plachtince";2010-01-01;
516023;99124;"Dolné Plachtince";2010-01-01;
516406;99124;"Dolné Plachtince";2010-01-01;
503746;92502;"Dolné Saliby";2010-01-01;
503771;92502;"Dolné Saliby";2010-01-01;
505951;91641;"Dolné Srnie";2010-01-01;
506958;92061;"Dolné Trhovište";2010-01-01;
506966;92061;"Dolné Trhovište";2010-01-01;
507326;92061;"Dolné Trhovište";2010-01-01;
513989;97223;"Dolné Vestenice";2010-01-01;
501557;93014;"Dolný Bar";2010-01-01;
555649;93014;"Dolný Bar";2010-01-01;
517526;01341;"Dolný Hričov";2010-01-01;
547590;01341;"Dolný Hričov";2010-01-01;
547620;01341;"Dolný Hričov";2010-01-01;
509540;02601;"Dolný Kubín 1";2010-01-01;
509710;02601;"Dolný Kubín 1";2010-01-01;
509787;02601;"Dolný Kubín 1";2010-01-01;
509825;02601;"Dolný Kubín 1";2010-01-01;
509833;02601;"Dolný Kubín 1";2010-01-01;
509965;02601;"Dolný Kubín 1";2010-01-01;
509973;02601;"Dolný Kubín 1";2010-01-01;
509990;02601;"Dolný Kubín 1";2010-01-01;
510017;02601;"Dolný Kubín 1";2010-01-01;
510181;02601;"Dolný Kubín 1";2010-01-01;
580813;02601;"Dolný Kubín 1";2010-01-01;
546640;01821;"Dolný Lieskov";2010-01-01;
557480;01821;"Dolný Lieskov";2010-01-01;
580856;01821;"Dolný Lieskov";2010-01-01;
506982;92204;"Dolný Lopašov";2010-01-01;
507199;92204;"Dolný Lopašov";2010-01-01;
503151;94143;"Dolný Ohaj";2010-01-01;
502197;93537;"Dolný Pial";2010-01-01;
502294;93537;"Dolný Pial";2010-01-01;
560103;05981;"Dolný Smokovec";2010-01-01;
