St. šk.,Obec,Stredná škola,Ulica
605760,Bratislava-Petržalka,Gymnázium Alberta Einsteina,Einsteinova 35
17327164,Bratislava-Petržalka,Evanjelické lýceum,Vranovská 2
17050332,Bratislava-Petržalka,Stredná odborná škola technická,Vranovská 4
17054281,Bratislava-Petržalka,Stredná odborná škola gastronómie a hotelových služieb,Farského 9
31793185,Bratislava-Petržalka,Stredná zdravotnícka škola,Strečnianska 20
30843006,Bratislava-Petržalka,Cirkevné konzervatórium,Beňadická 16
30775434,Bratislava-Petržalka,Obchodná akadémia,Dudova 4
17327661,Bratislava-Petržalka,Stredná priemyselná škola elektrotechnická,Hálova 16
36068284,Bratislava-Petržalka,Súkromná škola umeleckého priemyslu animovanej tvorby,Vlastenecké námestie 1
710230826,Malacky,Spojená škola sv. Františka Assiského-Gymnázium sv. Františka Assiského,Kláštorné nám. 1
160229,Malacky,Gymnázium,1. mája 8
17050197,Modra,Gymnázium Karola Štúra,Nám. slobody 5
162787,Modra,Stredná odborná škola pedagogická,Sokolská 6
162311,Modra,Stredná odborná škola vinársko-ovocinárska,Kostolná 3
17050201,Pezinok,Gymnázium,Senecká 2
351822,Pezinok,Stredná odborná škola podnikania a služieb,Myslenická 1
31874452,Pezinok,Obchodná akadémia,Myslenická 1
710219024,Bernolákovo,Spojená škola-Stredná odborná škola agrotechnická J. A. Gagarina,Svätoplukova 38
710262337,Ivanka pri Dunaji,Spojená škola-Stredná odborná škola pôdohospodárska a veterinárna,SNP 30
891827,Žarnovica,Stredná odborná škola,Bystrická 4
35568364,Sobrance,Stredná odborná škola obchodu a služieb,Nám. slobody 12
